province,x,y
Anhui,222,-70
Beijing,189,77
Chongqing,84,-118
Fujian,249,-169
Gansu,-87,62
Guangdong,186,-217
Guangxi,108,-220
Guizhou,75,-175
Hainan,126,-313
Hebei,174,35
Heilongjiang,315,227
Henan,165,-34
Hong Kong,198,-244
Hubei,147,-91
Hunan,147,-151
Neimeng,87,83
Jiangsu,258,-43
Jiangxi,210,-148
Jilin,309,158
Liaoning,273,104
Macau,186,-248
Ningxia,54,16
Qinghai,-105,-17
Shaanxi,93,-32
Shandong,219,10
Shanghai,288,-74
Shanxi,138,22
Sichuan,3,-107
Tianjin,207,61
Xinjiang,-231,91
Xizang,-237,-74
Taiwan,306,-209
Yunnan,-24,-212
Zhejiang ,276,-107
